日期,消耗,回收,产品数
2026-04-01,27415.03,27856.587034,20
2026-04-02,31046.379999999997,30020.229091,20
2026-04-03,42150.18,41510.239518999995,20
2026-04-04,78406.34,82090.87745,20
2026-04-05,83333.27,77264.812199,20
2026-04-06,73141.13,67488.445309,20
2026-04-07,24580.03,22116.578054,20
2026-04-08,21357.71,19319.193899,20
2026-04-09,18532.86,16045.038413999999,20
2026-04-10,23832.760000000002,21608.343146,20
2026-04-11,62676.44,55742.519518999994,20
2026-04-12,60248.28,52382.450261,20
2026-04-13,21846.57,17395.732685,20
2026-04-14,21235.62,17433.530524,20
2026-04-15,23584.59,18983.359576,20
2026-04-16,22831.12,19534.647113,20
2026-04-17,34509.97,29495.68351,20
2026-04-18,69726.76999999999,60350.773407,20
2026-04-19,65149.01,50439.996675999995,20
2026-04-20,23863.340000000004,16743.715672,20
2026-04-21,18987.46,11303.224472999998,20
