日期,产品ID,等级,优化器状态,求解器状态,D1回收率(历史),D1回收率(ML预测),ML vs 历史差值,D1预测P20(分配单元加权),D1预测P50(分配单元加权),D1预测P80(分配单元加权),达标D1,当前ROI,KPI,ROI缺口(pp),组合预测ROI_P20,组合预测ROI_P50,P20安全垫(pp),恢复模式基准ROI,恢复预算上限,可选恢复预算段,累计消耗,累计回收,活跃天数,历史日均消耗,建议日均预算,分配总额,分配单元数,分配覆盖日期数,分配Cap,Cap使用率,分配预算占总建议,分配单元P20边际ROI,分配单元P50边际ROI,LTV倍率(分配加权),恢复提升分(分配加权),分配质量分(分配加权),风险预算折扣,风险预算动作,调优方向,改善可行性,剩余改善天,临近截止,风险告警,诊断说明,等级判定依据
2026-04-21,31440303,C,RecoveryBudget,RECOVERY_INFEASIBLE,0.6908,0.638,-0.0529,0.8182,0.8799,0.9056,0.7507,0.9289,1.05,12.1,0.9568,0.9576,-9.32,0.9563,24241.57,7,75819.93,70425.44,529,143.33,¥19,¥195,1,1,778.08,0.25,0.0224,0.983,1.0571,1.2014,0.0267,0.0277,0.425,明显降权,减量或维持观察,是,9,否,[产品能力下滑] 最近3天D1下降至58.52%，低于整体平均69.08%,该产品短期低效，但长尾可能补回，建议观察或小幅减量,D1=69.08% 低于达标D1 6.0pp
2026-04-21,36133892,C,RecoveryBudget,RECOVERY_INFEASIBLE,0.5272,0.5166,-0.0106,-,-,-,0.5723,0.8959,1.05,15.4,0.9568,0.9576,-9.32,0.9563,24241.57,7,34777.32,31158.47,735,47.32,"¥1,010*",-,0,0,-,-,-,-,-,-,-,-,0.425,明显降权,减量或维持观察,是,9,否,[产品能力下滑] 最近3天D1下降至29.93%，低于整体平均52.72%,该产品短期低效，但长尾可能补回，建议观察或小幅减量,D1=52.72% 低于达标D1 4.5pp
2026-04-21,36228745,C,RecoveryBudget,RECOVERY_INFEASIBLE,0.5398,0.496,-0.0438,-,-,-,0.6606,0.8161,1.05,23.4,0.9568,0.9576,-9.32,0.9563,24241.57,7,30671.53,25030.32,641,47.85,"¥1,010*",-,0,0,-,-,-,-,-,-,-,-,0.85,轻度降权,减量或维持观察,是,9,否,,该产品短期低效，但长尾可能补回，建议观察或小幅减量,D1=53.98% 低于达标D1 12.1pp
2026-04-21,36238406,C,RecoveryBudget,RECOVERY_INFEASIBLE,0.66,0.6092,-0.0508,-,-,-,0.7175,0.9348,1.05,11.5,0.9568,0.9576,-9.32,0.9563,24241.57,7,192907.43,180336.26,1244,155.07,¥78*,-,0,0,-,-,-,-,-,-,-,-,0.425,明显降权,减量或维持观察,是,9,否,[产品能力下滑] 最近3天D1下降至32.97%，低于整体平均66.00%,该产品短期低效，但长尾可能补回，建议观察或小幅减量,D1=66.00% 低于达标D1 5.7pp
2026-04-21,32763997,B,RecoveryBudget,RECOVERY_INFEASIBLE,0.6313,0.5882,-0.0431,0.6917,0.7961,0.8434,0.6119,0.9952,1.05,5.5,0.9568,0.9576,-9.32,0.9563,24241.57,7,66837.39,66514.53,750,89.12,¥35,¥348,1,1,1390.8,0.25,0.04,0.9877,1.1367,1.4279,0.0314,0.0325,0.5,明显降权,维持,是,9,否,[产品能力下滑] 最近3天D1下降至55.14%，低于整体平均63.13%,该产品效率中等，建议保持当前投放节奏,D1=63.13% 接近达标D1
2026-04-21,32917619,C,RecoveryBudget,RECOVERY_INFEASIBLE,0.6443,0.6069,-0.0374,-,-,-,0.7158,0.9169,1.05,13.3,0.9568,0.9576,-9.32,0.9563,24241.57,7,115006.54,105454.69,877,131.14,¥66*,-,0,0,-,-,-,-,-,-,-,-,0.85,轻度降权,减量或维持观察,是,9,否,,该产品短期低效，但长尾可能补回，建议观察或小幅减量,D1=64.43% 低于达标D1 7.2pp
2026-04-21,36629498,C,RecoveryBudget,RECOVERY_INFEASIBLE,0.2832,0.3149,0.0317,-,-,-,0.4773,0.5901,1.05,46.0,0.9568,0.9576,-9.32,0.9563,24241.57,7,37485.48,22119.92,1105,33.92,"¥1,010*",-,0,0,-,-,-,-,-,-,-,-,0.85,轻度降权,减量或维持观察,是,9,否,,该产品短期低效，但长尾可能补回，建议观察或小幅减量,D1=28.32% 低于达标D1 19.4pp
2026-04-21,36655893,A,RecoveryBudget,RECOVERY_INFEASIBLE,0.8696,0.8273,-0.0423,0.8819,0.9472,0.9488,0.8133,1.0997,1.05,-5.0,0.9568,0.9576,-9.32,0.9563,24241.57,7,219644.98,241543.97,594,369.77,¥634,"¥6,342",2,2,16910.67,0.375,0.7301,1.0023,1.0764,1.156,0.0461,0.0477,1.0,正常,加量,是,9,否,,该产品效率高，建议增加预算分配,D1=86.96% 超过达标D1 5.6pp
2026-04-21,36656221,B,RecoveryBudget,RECOVERY_INFEASIBLE,0.7436,0.712,-0.0316,0.8308,0.8951,0.908,0.7337,1.036,1.05,1.4,0.9568,0.9576,-9.32,0.9563,24241.57,7,188561.54,195355.72,188,1002.99,¥175,"¥1,755",1,1,7018.82,0.25,0.202,1.0122,1.0905,1.2182,0.0559,0.0575,1.0,正常,维持,是,9,否,,该产品效率中等，建议保持当前投放节奏,D1=74.36% 接近达标D1
2026-04-21,36829936,C,RecoveryBudget,RECOVERY_INFEASIBLE,0.637,0.5641,-0.0729,-,-,-,0.7108,0.8927,1.05,15.7,0.9568,0.9576,-9.32,0.9563,24241.57,7,50992.45,45519.19,559,91.22,"¥1,010*",-,0,0,-,-,-,-,-,-,-,-,0.425,明显降权,减量或维持观察,是,9,否,[产品能力下滑] 最近3天D1下降至51.04%，低于整体平均63.70%,该产品短期低效，但长尾可能补回，建议观察或小幅减量,D1=63.70% 低于达标D1 7.4pp
