日期,消耗,回收,产品数
2026-03-01,66459.77,70992.475301,20
2026-03-02,57572.490000000005,57935.66651899999,20
2026-03-03,52017.770000000004,53349.048527000006,20
2026-03-04,43703.509999999995,42058.490868999994,20
2026-03-05,30930.83,26307.389427,20
2026-03-06,25680.33,24547.686231,20
2026-03-07,52794.0,57796.692748,20
2026-03-08,53473.45,56412.078830000006,20
2026-03-09,23238.04,24088.557151,20
2026-03-10,23912.2,24832.78639,20
2026-03-11,25737.989999999998,25879.098026999996,20
2026-03-12,28507.510000000002,27480.715850999997,20
2026-03-13,36890.05,37198.443189,20
2026-03-14,78483.69,81058.818791,20
2026-03-15,71924.86,71007.948723,20
2026-03-16,26157.800000000003,24060.723406999998,20
2026-03-17,21666.48,19348.381493,20
2026-03-18,17686.13,18340.090387,20
2026-03-19,19361.93,19425.610086,20
2026-03-20,26844.43,29221.839782,20
2026-03-21,61363.229999999996,66302.63163300001,20
2026-03-22,66005.09,62796.623388,20
2026-03-23,20438.33,19167.372729000002,20
2026-03-24,19818.08,18286.851057,20
2026-03-25,20246.660000000003,18189.016864999998,20
2026-03-26,24583.199999999997,21349.33252,20
2026-03-27,36674.47,34019.347091,20
2026-03-28,89496.51999999999,82434.141185,20
2026-03-29,94664.54999999999,80323.577796,20
2026-03-30,19850.4,18810.463576000002,20
2026-03-31,19673.35,18906.638532999998,20
